_unit_id,airline_sentiment,text
681448150,neutral,@VirginAmerica What @dhepburn said.
681448153,positive,@VirginAmerica plus you've added commercials to the experience... tacky.
681448156,neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!
681448158,negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
681448159,negative,@VirginAmerica and it's a really big bad thing about it
681448162,negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
681448165,positive,"@VirginAmerica yes, nearly every time I fly VX this ���ear worm�۝ won�۪t go away :)"
681448167,neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
681448169,positive,"@virginamerica Well, I didn't��_but NOW I DO! :-D"
681448171,positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
681448174,neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
681448176,positive,@VirginAmerica I &lt
681448178,positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp
681448181,positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
681448182,positive,@VirginAmerica Thanks!
681448184,negative,@VirginAmerica SFO-PDX schedule is still MIA.
681448186,positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
681448188,negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
681448190,positive,I ��_�� flying @VirginAmerica. ���_�ԍ
681448192,positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
681448194,negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
681448197,positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
681448199,positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.
681448201,neutral,@VirginAmerica will you be making BOS&gt
681448204,negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _��� I want free internet
681448206,negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
681448208,negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
681448211,neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
